JOB DESCRIPTION	JOB CATEGORY
"Expected Work Experience Minimum 5-12 Years of relevant experience in Accounts, Finance and Tax. Sound knowledge of Finance & Accounts functions. Has knowledge about customs, excise, import/export and other related procedures. Key Job Responsibilities * Prepare asset, liability, and capital account entries by compiling and analyzing account information. * Documentation of financial transactions by entering accounting information. * Summarizing current financial status by collecting information; preparing balance sheet, profit and loss statement, and other reports. * Liaison with auditors for statutory audit & tax audit. * Preparation of annual report (ROC) * Preparation of Computation of income (IT), Deferred tax & Calculation of Advance Tax. * Handling IT Assessments whenever needed. * VAT compliance which includes communication with consultant, govt. authorities for tax audit, assessments & refunds. * Local Body Tax/Cess which includes accounting, payments, filing returns & handling assessments. * Monthly Invoicing activity including follow up for data, invoice preparation & dispatch. * Service tax accounting, payments, preparing & filing ST-3 online returns, Assessments. * Preparation and submission of Quarterly/ Annually TDS/VAT and Sale Tax Returns * Preparation and submission of service Tax payment and returns * Preparing MIS report on monthly/ Quarterly and submit to the same to the Director * Determining for internal audit and reply audit queries * Follow-up of ' C ' forms, preparation bank reconciliation and vendor payment. Job Type: Full-time Salary: ₹15,000.00 to ₹40,000.00 /month Experience: Tally: 3 years (Preferred) accounting: 3 years (Preferred)"	0
"Accounts Officer required for Bhiwandi Branch located at Kalher. We are a 20 year Old Company who treat all employees with Dignity & Respect. If you are looking for a respectful job , do apply. Visit Our Website : www.caravanfreight.com 1) Will be responsible for understanding the work being done by Fleet Department. 2) To Maintain Process for Fleet Expenses as per Trip Charts & Maintain Accounts. Ensuring that Petty Cash amount method is communicated to drivers. 3) Payment for Driver Salaries. 4) Mantaining Drivers Attendance Records. 5) Running Analytics & Converting Data Entry Work into the System. 6) Accounting Work done in Tally ERP 7) Authorization of Fleet Petty Cash 8) Driver Bank Accounts to be opened & Data Base to be mantained 9) Vehicles tracked via Tata Tele GPS on Cloud. 10) Will Report to General Manager Finance at HO in Mumbai. Job Type: Full-time Salary: ₹10,000.00 to ₹12,000.00 /year Education: Secondary(10th Pass) (Preferred) Location: Bhiwandi, Maharashtra (Preferred)"	0
"Job Summary Finance Activities Job Type / Category 10 to 7 Required Education, Skills and Qualifications CA Job Type: Full-time Experience: Tally: 10 years (Required) A/R Analysis: 1 year (Preferred) accounting: 10 years (Required) work: 1 year (Preferred) Education: Master's (Preferred)"	0
"Primary Responsibilities: Maintain general ledger accounts and related activities for the production of financial statements Reconcile, analyze and review general ledger accounts in preparation for month end close Prepare journal entries and reviews accounting classifications, in accordance with GAAP Prepare Reconciliations Prepare documentation in support of external and internal audits Perform ad hoc reporting and analysis and investigate issues and providing explanations Assist with or lead the month end quarterly end close process for assigned businesses or groups Analyze and investigates financial information Provide explanations and interpretations within area of expertise Prepare payment vouchers for processing payment Validate Membership, Revenue and process payments Required Qualifications: B.Com/M.Com/MBA Relevant experience in Finance and Accounting/Reporting domain Sound business knowledge and strong decision-making skills Familiar with ERP tools/packages (PeopleSoft/Essbase/Smartview) Ability to demonstrate the drive and motivation to deliver high quality results based on thorough analysis Ability to demonstrate a broad knowledge of financial principles, practices, and procedures as applied to complex assignments Ability to demonstrate effective and efficient problem-solving capabilities Ability to communicate in an effective manner Good technical skills in MS Office Excel, MS Access (ie. Modify/create queries) Ready to work in US shift timings (5:30 PM to 3:00 AM IST) for one week Preferred Qualifications: Healthcare experience Ability to create Macros Careers with Optum. Here's the idea. We built an entire organization around one giant objective; make the health system work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.(sm) Job Keywords: Assistant Manager, Deputy Manager, Accounting, Accountant, MS Access, Excel, PeopleSoft, Essbase, Smartview, Modify, Finance, Reporting Domain, Hyderabad, Telangana"	0
"Background AlexZeal is creating a Startup Legal & Financial Services division that will offer a full range of legal, financial & accounting services to Indian startups through all phases of their growth process. The services include incorporation, structuring, compliance, employee stock options, etc. This division will also offer similar services to foreign startups that want to enter the Indian market What's the main purpose of this role? This is an entrepreneurial role that will be responsible for management and execution of all the services that come under Incorporation Practice. What are the key responsibilities? Compliance under the Companies Act, Limited Liability Partnership Act, Branch office, liaising office, FEMA and other statutory compliance prescribed under the respective statutes. Coordination and Liaise with ROC, MCA and other regulatory authority offices such as RD, OL, High Court etc. , as and when required Various FEMA compliance and regulations for FDI Understanding / knowledge of notified section and draft rules of the Companies Act, 2013 Advisory / consultancy on entity set-up, restructuring in view of the Companies act and FEMA perspective What are the required experience, skills & qualities? Entrepreneurial drive, passionate about startups, understanding the difference between ‘modern startup’ & ‘traditional corporate’ culture, self-motivated & disciplined. These are the prime requirements. Progressive and global outlook At least 1 year relevant experience. Impeccable use of English, both written and verbal (British English preferred). CS What's in it for me? Opportunity to work with a progressive, hip global team. Opportunity to become part of global startup ecosystem and make international contacts. Competitive Salary, excellent incentives & Equity Options. Job Type: Full-time Location: Pune, Maharashtra (Preferred) Licence: Certificate of Practice (Preferred) Language: English (Required)"	0
"Experience: Only Experienced( 1 to 2Yrs) Salary: Good hike on current(20% to 50% Skills: * Knowledge of Objective C/Swift * Familiar with Web-services/APIs. * Worked on Google Maps * Social Media Integration like Facebook SDK, Twitter SDK. * Should have Good logistic and Annalistic Skills. * Worked on APNS for IOS Push Notification. Direct Walk in: -Bright Roots Software Solution Pvt. Ltd. E-302,Vista Tower, 5th Floor, Phase-8A, Sector-75 Mohali. Landmark CS Soft Solutions Interview timing - 11am to 5pm Contact: - 76974-07336 Job Type: Full-time Experience: work: 1 year (Preferred) Education: Secondary(10th Pass) (Preferred)"	0
"Job Description Sutherland is seeking a reliable and detail-oriented person to join us as Customer Service Consultant (Chat). We are a group of driven and hard-working individuals. If you are looking to build a fulfilling career and are confident you have the skills and experience to help us succeed, we want to work with you! Consultants in this role get to: Be the point of contact: Develop outstanding customer service skills. Sit in on multiple simultaneous live chat sessions to provide exceptional customer service. Answer inbound Calls. Provide basic troubleshooting on a variety of products and services. Qualifications Our most successful candidates will have: A High School diploma or GED Excellent verbal and written communication skills; proficient reading skills Multi-tasking skills, showcased through the use of several applications (experience working with CRM applications preferred) Basic PC keyboarding skills; basic Microsoft Office (Outlook, Word, Excel) experience Proven customer service skills"	0
"Making of Purchase & Sales Entry. Making of Receipt & Payment. Making of Petty Cash Entry Making of JV Receipt Entry. Making of Office Boy Voucher Entry in Excel & Checking it. Making of All Supplier Bill & Challan Entry in Excel Making of GRN in Store Dept. Filing of Bill, Challan & Voucher. Making of Debit / Credit Note. Checking of Sales Invoice File whether Serial no, Docket no & Signature of Hand Delivery. Tally Experience Must DO NOT APPLY FRESHER Dadar Branch : SHIV SHAKTI CHS. A WING, 1STFLOOR, NEXT TO SAHAKARI BHANDAR, JUNCTION OF S.K. BOLE ROAD & K. DHURU MARG, AGAR BAZAR, PRABHADEVI, MUMBAI 400 025 Tel : 022-24311616 / 24311614 salary: - 9000/- to 10000/- Job Type: Full-time Salary: ₹9,000.00 to ₹10,000.00 /month Experience: work: 3 years (Preferred) Accounting: 3 years (Preferred) Education: Bachelor's (Preferred) Location: Dadar, Mumbai, Maharashtra (Preferred)"	0
"All Accounting Work Like: GST Returns, TDS Payment, Bank Reconciliation, Challan Entry, Bill Entry & Other Work Regarding Account Salary: INR 2,00,000 - 3,50,000 P.A. Industry: Courier, Transportation, Freight , Warehousing Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category: Accounts Role: Accounts Executive/Accountant Employment Type: Permanent Job, Full Time For Account: Tally ERP Must & Advance Excel Work Required. For Data Entry Operator: Tally ERP + Advance Excel Work Required, MIS Report Preparing (Daily, Monthly, Yearly), Mail Education- UG: Any Graduate - Any Specialization Job Type: Full-time"	0
"Required: - Senior Accountant experience- minimum 8-9 years Qualification- Bcom Graduate Location- Kolkata Salary- 25-30 k The desired candidate should have knowledge in GST return and filling, accounts finalisation, Tally, MS excel, bank BRS. Should have good communication. Should be smart. Job Type: Full-time Salary: ₹25,000.00 to ₹30,000.00 /month Experience: accounting: 8 years (Preferred) Education: Bachelor's (Preferred) Language: English (Preferred)"	0
"Job Summary This is a mid to senior level position. The accountant would report directly to senior management and work with auditors and cashiers. Responsibilities and Duties *Maintain accounts daily accounts *Build relations with local partner banks *Supervise cashiers *File returns and other statutory work Required Experience, Skills and Qualifications Bachelor's Degree (min. requirement) Familiar with ERP accounting systems At ease on computers Prior experience is preferred but not required Benefits Full training provided Opportunity to grow and build a good career Outstation applicants will be provided accommodation facility. Job Type: Full-time"	0
"we are hiring Charted Accountant for leading automobile dealership of Bhilwara Rajasthan. candidate must have complete knowledge of company audit . salary no bar for right candidate . Job Type: Full-time Salary: ₹25,000.00 to ₹30,000.00 /month Experience: accounting: 2 years (Preferred) Education: Bachelor's (Preferred)"	0
"Job Locations:Mumbai Minimum Qualification:Graduation Experience:4 - 6 years Job Summary: Prepare profit and loss statements and monthly closing and cost accounting reports. Compile and analyze financial information to prepare entries to accounts, such as general ledger accounts, and document business transactions. Establish, maintain, and coordinate the implementation of accounting and accounting control procedures. Analyze and review budgets and expenditures for local, state, federal, and private funding, contracts, and grants. Description: Internal audit of account income Tax Sales Tax Finance Excise service tax Reporting to Finance Controller We look forward to employing dedicated professionals with various kinds of expertise since we are constantly expanding. you can reach us at: jobs@aryans.biz"	0
"Coordinate and execute the monthly close process including journal entries, reconciliations and financial statement preparation for reporting to senior management, bank, and shareholders Manage annual financial statement audit and other sales/use tax audits Manage the tenant billing process performed by an assistant Perform daily bank/cash reconciliation Manage intercompany transactions Involved in Cash Flow and Budget process Oversee weekly payroll and perform annual payroll related filings Maintain Personnel Files Participate in Office Management function Job Type: Full-time Job Type: Full-time Experience: work: 1 year (Preferred) Education: Bachelor's (Preferred)"	0
"WANTED A GOOD ACCOUNTANT, WELL VERSED IN TALLY ERP 9, GST FILINGS,BOOK KEEPING AND PAYMENTS MAIN KNOWLEDGE OF TALLY AND GENERAL OVERALL KNOWLEDGE OF ACCOUNTING. MAJOR SKILLS: TALLY ERP9 EXPERIENCE IS MUST JOB TIMINGS: 10AM TO 7.30PM WORKING DAYS: MONDAY TO SATURDAY Job Type: Full-time Salary: ₹10,000.00 to ₹12,000.00 /month Experience: work: 1 year (Preferred) accounting: 1 year (Preferred) Education: Secondary(10th Pass) (Preferred)"	0
"Description: Accountant Knowledge of Tally 9.0 Project wise salary distribution. Preparing of salary sheet on payroll in tally ERP 9. Income tax audit report Financial year calculation Day to Day Accounting, Payroll | Bank Reconciliation | MIS | Balance sheet Finalization | Branch Accounting Preparing P&L account | Handle all jobs related to Direct and Indirect Taxation Handling Petty Cash | Maintain vouchers and Filing | Knowing Tally 7.2 & 9.0 | Service Tax"	0
"Job Summary We are Looking for Chartered Accountant for our Client with 0-5 years of experience in (Relocation to Hubli) Roles & Responsibilities Will be responsible for the regular Financial Audit of the Company accounts Will liason between the Management, Internal Accounts / Finance team and the External CA. Preparation, Analysis and finalizing of Financial Statements. Review and submission of timely audit reports. Budgeting, Forecasting and Management reporting. Planning and regulating financial, regulatory, compliance or operational reviews/audits. Managing multiple assignments and Teams. Job Types: Full-time, Part-time Salary: ₹50,000.00 to ₹70,000.00 /month Experience: as CA: 1 year (Preferred) Auditor: 1 year (Preferred) Education: Bachelor's (Preferred) Location: Hubli, Karnataka (Preferred) Language: ENGLISH (Required)"	0
"A well established Retail / Distributor , group requires Accountant/Billing/Logistics/Sales staff for their new showroom in BALLIA U.P 277001. AT - AKASHDEEP ELECTRONICS chittu pandey station road ballia , Job Description - Manage all accounting operations based on accounting principles -prepare monthly account reconciliations -Collect, analyze and summarize account information -Posting and processing journal entries to ensure all business transactions are recorded -Updating accounts receivable and issue invoices -Updating accounts payable and perform reconciliations -Prepare and submit weekly/monthly reports -Prepares inter-fund transfers -Supporting team members on all accounting issues -Excellent knowledge of MS Office and familiarity with relevant computer software, tally is most -Thorough knowledge of basic accounting procedures and principles. - Excellent knowledge of TALLY, Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category: Accounts Role: Accounts Executive/Accountant Employment Type: Permanent Job, Full Time CONTACT -- 7800224367 , 7355399590 Job Type: Full-time Salary: ₹9,000.00 to ₹18,000.00 /month Experience: accounting: 1 year (Preferred) Education: Master's (Preferred) Location: Ballia, Uttar Pradesh (Preferred) Language: ENGLISH ,HINDI (Preferred)"	0
"We are looking at people who will be performing inventory audits for our client across India. This position will require extensive travelling. Work experience - 0-1 year. Preference to people who has audit experience or have done training with a CA firm. Education: Graduate Communication Skill: Decent. Should understand English even if not fluent in the language. Fluency in Hindi is required. Job Type: Full-time Salary: ₹150,000.00 to ₹200,000.00 /year Experience: work: 1 year (Preferred) Education: Bachelor's (Required)"	0
"Charger Logistics Inc. is a world-class asset-based carrier with locations across North America. With over 20 years of experience providing the best logistics solutions, Charger Logistics has transformed into a world-class transport provider and continues to grow. Charger Logistics invests time and support into its employees to provide them with the room to learn and grow their expertise and work their way up. We are an entrepreneurial-minded organization that welcomes and support individual ideas and strategies. Charger Logistics is looking for an organized, tech-savvy individual to join our dynamic team as an Jr. IT Support at Baner location. Responsibilities: Provide Service Desk support to users either via phone, email or desk side as required. Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary. General IT related tasks such as running updates and setting up new work stations Maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations. Perform post-resolution follow-ups to help desk requests. Off-hour on-call support Work with high level managers to identify and formulate long term plans. Brainstorm solutions to improve workplace productivity Thoroughly test new applications provide training to employees Maintain and track all hardware. Education: College diploma or University degree in B.E/B.Tech or equivalent/related discipline Industry recognized Education Diplomas MCSE, A+ would be definite assets. Requirements: Minimum of 1-2 years of experience providing help desk support is required Understanding of network systems is an asset Excellent knowledge of Windows Operating systems, Microsoft Office Suite Knowledge of various software suites – Advanced Excel, Adobe CS, Visio Basic working knowledge of Active Directory, Networking (TCP/IP, DNS, DHCP, FTP), Remote Access, Printers/Projectors Excellent verbal and written communication skills Problem solving and decision-making skills with the ability to work in a team environment Job Type: Full-time Experience: IT Support: 1 year (Preferred) Education: Secondary(10th Pass) (Preferred) Location: Baner, Pune, Maharashtra (Preferred)"	0
"Urgent requiremnt for Node.js Developer Designation: -Node.js Developer Experience: - 6Months to 2 yrs Location: - Mohali Requirements : Experience with Node.js Framework, JavaScript tools. Proficiency in RESTful APIs and API Communications. Strong proficiency in Javascript. Experience with ExpressJs, ReactJs, AngularJs and Redux. Experience with MySQL and MongoDB. Good knowledge of OOPS concept. Direct walk in -Bright Roots Software Solutions Pvt. Ltd. E-302, Vista Tower, 5th Floor, Phase- 8A, Sectro-75, Mohali Landmark- CS Soft Solutions. Time- 11:00AM- 05:00PM Call- 01722237449, 7696407336 for more details. Thanks & Regards HR Executive Ekta Thakur Job Type: Full-time Salary: ₹10,000.00 to ₹20,000.00 /month"	0
"Ascend Capital is a new age digital NBFC, providing capital to the vast majority of MSME businesses that are currently unable to access finance from traditional channels. We are looking for highly motivated individuals willing to work in a fast paced startup environment in Jaipur. The workplace is very dynamic with constant improvements with a great growth opportunity. Responsibilities : - Complete loan credit underwriting including preparing CAM, sanction, verification Conduct thorough analysis of loan cases to infer customer income and repayment capability Check for any red flags in the loan cases and resolve them and issue alerts Prepare detailed estimates of income and expenses for businesses Conduct in person interviews with customers Educate the customers about the loan they are taking Provide a great customer experience Ensure timely repayment of loans Required work experience and skills : - Previous Credit / FI experience in AU or Aavas prefered. 2-5 years experience as credit officer in an NBFC or MFI Strong attention to detail and team player Minimum education level - Graduate, CA Inter / Final preferred Willingness to learn and work hard Job Type: Full-time Salary: ₹350,000.00 to ₹600,000.00 /year Experience: credit underwriting and FI: 2 years (Required) Education: Bachelor's (Required)"	0
